,№,Radical,Freq.,General standard #,Encounters,Fraction of   the language,HSK 2.0,HSK 3.0,Stroke count,Character,pinyin,pinyin,tone,Meaning,,Goal
,2597,手 64.9,2807,2518,2474,"0,001279%",,7–9,12,揽,lǎn,lan,third,"grasp, take hold of; monopolize",,垫
,2598,手 64.9,2818,2540,2427,"0,001254%",6,7–9,12,揉,róu,rou,second,"rub, massage; crush by hand",,妒
,2599,手 64.9,3034,2525,1829,"0,000945%",,7–9,12,揣,chuāi,chuai,first,put things under clothes,,魁
,2600,手 64.9,3065,2527,1735,"0,000897%",,7–9,12,揪,jiū,jiu,first,"grasp with hand, pinch",,谣
,2601,手 64.9,3384,2531,1172,"0,000606%",6,7–9,12,搀,chān,chan,first,give helping hand,,寞
,2602,手 64.9,3505,5066,1031,"0,000533%",,,12,揖,yī,yi,first,"salute, bow; defer to, yield",,蜀
,2603,手 64.9,3540,2507,986,"0,000510%",6,7–9,12,揍,zòu,zou,fourth,"hit, beat; smash, break",,甩
,2604,手 64.9,3671,2513,837,"0,000433%",,,12,揩,kāi,kai,first,"rub and wipe, dust, clean",,涯
,2605,手 64.9,4614,5076,279,"0,000144%",,,12,揆,kuí,kui,second,"prime minister; to guess, estimate",,枕
,2606,手 64.9,4725,5071,244,"0,000126%",,,12,揄,yú,yu,second,"lift, raise; praise; hang; flap",,丐
,2607,手 64.9,4836,5069,215,"0,000111%",,,12,揿,qìn,qin,fourth,press,,泳
,2608,手 64.9,5389,4716,126,"0,000065%",,,11,揶,yé,ye,second,"make fun of, ridicule",,奎
,2609,手 64.9,5441,5077,121,"0,000063%",,,12,掾,yuàn,yuan,fourth,a general designation of officials,,泌
,2610,手 64.9,6288,,40,"0,000021%",,,12,揎,xuān,xuan,first,to pull up the sleeves and stretch out the arms; to strike with bare fists,,逾
,2611,手 64.9,6779,5063,17,"0,000009%",,,12,揠,yà,ya,fourth,"to pull up, to eradicate",,叮
,2612,手 64.9,6890,5062,14,"0,000007%",,,12,揸,zhā,zha,first,"handful; to grasp, seize, pick up with fingers; (Cant.) to take, carry",,黛
,2613,手 64.9,7461,,6,"0,000003%",,,12,揲,dié,die,second,to sort out the stalks used in divination; to fold,,燥
,2614,手 64.9,7569,,5,"0,000003%",,,12,揞,ǎn,an,third,to cover (with the hand),,掷
,2615,手 64.9,0,5059,,"0,000000%",,,12,揳,xiē,xie,first,,,藉
,2616,手 64.9,0,7291,,"0,000000%",,,12,揕,zhèn,zhen,fourth,"roll up the sleeves; fight bare-fisted; strike, stab",,枢
,2617,支 65.0,437,0089,96814,"0,050032%",4,3,4,支,zhī,zhi,first,"disperse, pay; support; branch",,憎
,2618,攴 66.0,5985,,64,"0,000033%",,,4,攵,pū,pu,first,"rap, tap; radical number 66",,鲸
,2619,攴 66.0,6627,,23,"0,000012%",,,4,攴,pū,pu,first,"rap, tap lightly; KangXi radical 66",,弘
,2620,攴 66.10,1732,3140,9978,"0,005156%",4,5,14,敲,qiāo,qiao,first,"strike, beat, pound, hammer; rap",,倚
,2621,攴 66.11,416,3333,100910,"0,052149%",4,3,16,整,zhěng,zheng,third,"orderly, neat, tidy; whole",,侮
,2622,攴 66.11,2788,3219,2548,"0,001317%",6,7–9,15,敷,fū,fu,first,"spread, diffuse; apply, paint",,藩
,2623,攴 66.16,0,7441,,"0,000000%",,,12,敩,xiào,xiao,fourth,,,拂
,2624,攴 66.2,351,0573,120897,"0,062478%",4,2,6,收,shōu,shou,first,"gather together, collect; harvest",,鹤
,2625,攴 66.3,350,0908,121023,"0,062543%",4,2,7,改,gǎi,gai,third,"change, alter; improve, remodel",,蚀
,2626,攴 66.3,588,0630,68747,"0,035527%",6,6,7,攻,gōng,gong,first,"attack, assault; criticize",,浆
,2627,攴 66.3,3416,3730,1126,"0,000582%",,,7,攸,yōu,you,first,"distant, far; adverbial prefix",,芙
,2628,攴 66.4,150,1376,269878,"0,139469%",5,4,9,政,zhèng,zheng,fourth,"government, political affairs",,垃
,2629,攴 66.4,291,1223,147600,"0,076277%",3,1,8,放,fàng,fang,fourth,"put, release, free, liberate",,烤
,2630,攴 66.4,0,6708,,"0,000000%",,,8,攽,bān,ban,first,variant of 颁,,晒
,2631,攴 66.5,572,1418,70067,"0,036210%",3,2,9,故,gù,gu,fourth,"ancient, old; reason, because",,霜
,2632,攴 66.6,551,2034,74009,"0,038247%",4,3,10,效,xiào,xiao,fourth,"result, effect; effectiveness",,剿
,2633,攴 66.6,6086,7048,56,"0,000029%",,,10,敉,mǐ,mi,third,"pacify, soothe, stabilize",,蕴
,2634,攴 66.7,191,2179,208875,"0,107943%",2,1,11,教,jiào,jiao,fourth,"teach, class",,圾
,2635,攴 66.7,872,2232,38824,"0,020064%",5,3,11,救,jiù,jiu,fourth,"save, rescue, relieve; help, aid",,绸
,2636,攴 66.7,1436,2323,15135,"0,007822%",5,5,11,敏,mǐn,min,third,"fast, quick, clever, smart",,屿
,2637,攴 66.7,2925,2350,2107,"0,001089%",,7–9,11,敛,liǎn,lian,third,"draw back, fold back; collect",,氢
,2638,攴 66.7,3435,4783,1103,"0,000570%",,,11,敕,chì,chi,fourth,an imperial order or decree,,驼
,2639,攴 66.7,3573,4411,945,"0,000488%",,,10,敖,áo,ao,second,"ramble, play about; leisurely; surname",,妆
,2640,攴 66.7,0,7143,,"0,000000%",,,11,敔,yǔ,yu,third,gavel,,捆
,2641,攴 66.8,795,2470,44338,"0,022913%",4,3,11,敢,gǎn,gan,third,"to dare, venture; bold, brave",,铅
,2642,攴 66.8,866,2546,39336,"0,020328%",4,3,12,散,sàn,san,fourth,"scatter, disperse, break up",,逛
,2643,攴 66.8,1722,2729,10084,"0,005211%",,7–9,12,敦,dūn,dun,first,"esteem; honest, candid, sincere",,淑
,2644,攴 66.8,2592,2607,3248,"0,001679%",6,7–9,12,敞,chǎng,chang,third,"roomy, spacious, open, broad",,榴
,2645,攴 66.8,3259,4955,1378,"0,000712%",,,11,敝,bì,bi,fourth,"break, destroy; broken, tattered",,丙
,2646,攴 66.9,231,2999,183312,"0,094733%",3,2,13,数,shù,shu,fourth,"number; several, count; fate",,痒
,2647,攴 66.9,1209,2553,21646,"0,011186%",5,5,12,敬,jìng,jing,fourth,"respect, honor; respectfully",,钞
,2648,攴 66.9,5937,5507,68,"0,000035%",,,13,敫,jiǎo,jiao,third,ancient musical instrument,,蹄
,2649,文 67.0,148,0161,274222,"0,141714%",3,1,4,文,wén,wen,second,"literature, culture, writing",,犬
,2650,文 67.12,3994,6161,581,"0,000300%",,,16,斓,lán,lan,second,multicolored,,躬
,2651,文 67.6,2404,2029,4194,"0,002167%",,,10,斋,zhāi,zhai,first,vegetarian diet; study,,昼
,2652,文 67.7,2442,2730,3981,"0,002057%",,,12,斌,bīn,bin,first,"refined, having both appearance",,藻
,2653,文 67.8,2053,2505,6622,"0,003422%",6,7–9,12,斑,bān,ban,first,"mottled, striped, freckle",,蛛
,2654,文 67.8,2972,5122,1963,"0,001014%",,,12,斐,fěi,fei,third,"graceful, elegant, beautiful",,褐
,2655,斗 68.0,580,0166,69456,"0,035894%",5,4,4,斗,dòu,dou,fourth,Chinese peck; liquid measure,,颊
,2656,斗 68.10,4117,5657,512,"0,000265%",,,14,斡,wò,wo,fourth,"revolve, rotate, turn",,奠
,2657,斗 68.10,0,7627,,"0,000000%",,,14,斠,jiào,jiao,fourth,measure,,募
,2658,斗 68.6,557,2054,72778,"0,037611%",3,4,10,料,liào,liao,fourth,"consider, conjecture; materials, ingredients",,耽
,2659,斗 68.7,1786,2347,9264,"0,004787%",5,5,11,斜,xié,xie,second,"slanting, sloping, inclined",,蹈
,2660,斗 68.7,4531,4929,313,"0,000162%",,,11,斛,hú,hu,second,dry measure equal to some five or ten dou (舒),,陋
,2661,斗 68.8,0,7357,,"0,000000%",,,12,斝,jiǎ,jia,third,small jade wine cup,,侣
,2662,斗 68.9,3167,2846,1547,"0,000799%",6,,13,斟,zhēn,zhen,first,to pour wine or tea into a cup; to gauge,,魅
,2663,斤 69.0,1866,0137,8365,"0,004323%",3,2,4,斤,jīn,jin,first,"a catty (approximately 500 g); an axe; keen, shrewd; KangXi radical number 69",,岚
,2664,斤 69.1,1857,0278,8464,"0,004374%",6,7–9,5,斥,chì,chi,fourth,"to scold, upbraid, accuse, reproach",,侄
,2665,斤 69.13,0,7956,,"0,000000%",,,17,斶,chù,chu,fourth,,,虐
,2666,斤 69.4,2771,1170,2598,"0,001343%",,7–9,8,斧,fǔ,fu,third,"axe, hatchet; chop, hew",,堕
,2667,斤 69.5,4677,4168,257,"0,000133%",,,9,斫,zhuó,zhuo,second,"cut, chop, lop off",,陛
,2668,斤 69.6,5062,4583,173,"0,000089%",,,10,颀,qí,qi,second,tall and slim,,莹
,2669,斤 69.7,434,2405,97235,"0,050250%",4,3,11,断,duàn,duan,fourth,"sever, cut off; interrupt",,荫
,2670,斤 69.8,168,2541,240900,"0,124494%",6,7–9,12,斯,sī,si,first,"this, thus, such; to lop off; emphatic particle",,狡
,2671,斤 69.9,161,2994,253921,"0,131223%",2,1,13,新,xīn,xin,first,"new, recent, fresh, modern",,阀
,2672,方 70.0,60,0163,492763,"0,254653%",3,1,4,方,fāng,fang,first,"a square, rectangle; a region; local",,绞
,2673,方 70.10,1407,3152,15665,"0,008095%",6,6,14,旗,qí,qi,second,"banner, flag, streamer",,膏
,2674,方 70.10,4845,5787,213,"0,000110%",,,14,旖,yǐ,yi,third,romantic; tender; charming,,垮
,2675,方 70.15,0,8021,,"0,000000%",,,18,旞,suì,sui,fourth,,,茎
,2676,方 70.4,2025,6716,6858,"0,003544%",,,8,於,yú,yu,second,"in, at, on; interjection alas!",,缅
,2677,方 70.5,553,1634,73861,"0,038170%",5,4,9,施,shī,shi,first,"grant, bestow; give; act; name",,喇
,2678,方 70.6,950,2046,34384,"0,017769%",2,2,10,旅,lǚ,lü,third,"trip, journey; travel; traveler",,绒
,2679,方 70.6,981,2045,32268,"0,016676%",2,1,10,旁,páng,pang,second,"side; by side, close by, near",,搅
,2680,方 70.6,5181,4628,154,"0,000080%",,,10,旃,zhān,zhan,first,silk banner with bent pole,,凳
,2681,方 70.6,5436,4626,121,"0,000063%",,,10,旆,pèi,pei,fourth,"flag ornament; flags, banners",,梭
,2682,方 70.6,6107,4627,54,"0,000028%",,,10,旄,máo,mao,second,a kind of ancient flag; old,,丫
,2683,方 70.7,549,2392,74174,"0,038332%",4,3,11,族,zú,zu,second,"a family clan, ethnic group, tribe",,姬
,2684,方 70.7,1383,2393,16441,"0,008496%",6,6,11,旋,xuán,xuan,second,"revolve, move in orbit; return",,诏
,2685,方 70.7,4214,4942,454,"0,000235%",,,11,旌,jīng,jing,first,banner or flag adorned with feathers; to signal,,钮
,2686,方 70.7,5041,4943,176,"0,000091%",,,11,旎,nǐ,ni,third,fluttering of flag; romantic,,棺
,2687,方 70.8,0,7420,,"0,000000%",,,12,旐,zhào,zhao,fourth,an embroidered pennant,,耿
,2688,方 70.9,6046,5550,59,"0,000030%",,,13,旒,liú,liu,second,fringes of pearls on crowns,,缔
,2689,无 71.0,105,0081,359265,"0,185663%",4,4,4,无,wú,wu,second,"negative, no, not; KangXi radical 71",,懈
,2690,无 71.5,724,1721,51208,"0,026464%",4,4,9,既,jì,ji,fourth,already; de facto; since; then,,嫉
,2691,日 72.0,101,0112,363763,"0,187987%",2,1,4,日,rì,ri,fourth,sun; day; daytime,,灶
,2692,日 72.1,915,0232,36291,"0,018755%",3,3,5,旧,jiù,jiu,fourth,"old, ancient; former, past",,匀
,2693,日 72.1,1300,0235,18569,"0,009596%",5,5,5,旦,dàn,dan,fourth,dawn; morning; day,,嗣
,2694,日 72.10,3572,5827,946,"0,000489%",,,14,暨,jì,ji,fourth,"and; attain, reach; confines",,鸽
,2695,日 72.10,3802,5700,709,"0,000366%",6,,14,暧,ài,ai,fourth,"obscure, dim, ambiguous, vague",,澡
,2696,日 72.10,6019,5701,62,"0,000032%",,,14,暝,míng,ming,second,"dark, obscure",,凿
,2697,日 72.10,0,7672,,"0,000000%",,,14,㬎,xiǎn,xian,third,"(an ancient form of 顯) motes in a sunbeam, bright, fibrous, to manifest; to display, to be illustrious, evident, to seem; to appear, cocoons; chrysalis, will not have a pleasant conversation",,纬
,2698,日 72.11,1028,3234,29566,"0,015279%",6,6,15,暴,bào,bao,fourth,"violent, brutal, tyrannical",,沸
,2699,日 72.11,2768,3067,2626,"0,001357%",,7–9,14,暮,mù,mu,fourth,"evening, dusk, sunset; ending",,畴
,2700,日 72.11,0,7767,,"0,000000%",,,15,暵,hàn,han,fourth,dry by exposing sun,,刃
,2701,日 72.11,0,7768,,"0,000000%",,,15,暲,zhāng,zhang,first,bright; to rise (of sun),,遏
,2702,日 72.11,0,7769,,"0,000000%",,,15,暶,xuán,xuan,second,,,烁
,2703,日 72.12,4620,5909,278,"0,000144%",,,15,暹,xiān,xian,first,"rise; advance, go forward",,嗅
,2704,日 72.12,6112,6090,54,"0,000028%",,,16,暾,tūn,tun,first,"morning sun, sunrise",,叭
,2705,日 72.12,0,7859,,"0,000000%",,,16,暿,xǐ,xi,third,,,熬
,2706,日 72.12,0,7860,,"0,000000%",,,16,曌,zhào,zhao,fourth,name invented for herself by Tang empress Wu Zetian,,瞥
,2707,日 72.12,0,7861,,"0,000000%",,,16,曈,tóng,tong,second,twilight just before sunrise,,骸
,2708,日 72.12,0,7862,,"0,000000%",,,16,㬚,chè,che,fourth,"light; bright, clear",,奢
,2709,日 72.14,3385,3407,1171,"0,000605%",,7–9,17,曙,shǔ,shu,third,"bright, light of rising sun",,拙
,2710,日 72.14,4180,6331,471,"0,000243%",,,18,曜,yào,yao,fourth,"glorious, as sun; daylight, sunlight; one of the seven planets of pre-modern astronomy (the sun, the moon, Mercury, Venus, Mars, Jupiter, and Saturn)",,栋
,2711,日 72.14,5834,6329,76,"0,000039%",,,18,曛,xūn,xun,first,twilight; sunset,,毯
,2712,日 72.15,3431,3457,1105,"0,000571%",6,7–9,19,曝,pù,pu,fourth,"sun, air in sun, expose or dry in the sun",,桐
,2713,日 72.16,3744,6428,761,"0,000393%",,,20,曦,xī,xi,first,"sunlight, sunshine, early dawn",,砂
,2714,日 72.16,0,6821,,"0,000000%",,,9,昽,lóng,long,second,"vague, dim; twilight",,莽
,2715,日 72.17,5888,6453,72,"0,000037%",,,21,曩,nǎng,nang,third,"in ancient times, of old, former",,泻
,2716,日 72.2,462,0419,89623,"0,046316%",2,1,6,早,zǎo,zao,third,early; soon; morning,,坪
,2717,日 72.2,1685,0501,10590,"0,005473%",6,7–9,6,旨,zhǐ,zhi,third,"purpose, aim; excellent",,梳
,2718,日 72.2,2332,0500,4671,"0,002414%",5,7–9,6,旬,xún,xun,second,ten-day period; period of time,,杉
,2719,日 72.2,2846,0502,2341,"0,001210%",,7–9,6,旭,xù,xu,fourth,rising sun; brilliance; radiant,,晤
,2720,日 72.2,5243,3591,145,"0,000075%",,,6,旯,lá,la,second,"nook, corner",,稚
,2721,日 72.2,5287,3615,139,"0,000072%",,,6,旮,gā,ga,first,"nook, corner",,蔬
,2722,日 72.3,25,0717,833532,"0,430757%",1,1,7,时,shí,shi,second,"time, season; era, age, period",,蝇
,2723,日 72.3,2523,0714,3636,"0,001879%",6,7–9,7,旱,hàn,han,fourth,drought; dry; dry land,,捣
,2724,日 72.3,2735,0727,2731,"0,001411%",6,7–9,7,旷,kuàng,kuang,fourth,"extensive, wide, broad; empty",,顷
,2725,日 72.3,6183,3697,48,"0,000025%",,,7,旰,gàn,gan,fourth,"sunset, dusk; evening",,麽
,2726,日 72.3,0,3704,,"0,000000%",,,7,旸,yáng,yang,second,rising sun; sunshine,,尴
,2727,日 72.3,0,6589,,"0,000000%",,,7,旴,xū,xu,first,dawn,,镖
,2728,日 72.3,0,6590,,"0,000000%",,,7,旵,chǎn,chan,third,,,诧
,2729,日 72.4,121,1087,309873,"0,160138%",1,1,8,明,míng,ming,second,"bright, light, brilliant; clear",,尬
,2730,日 72.4,461,1088,89730,"0,046371%",3,3,8,易,yì,yi,fourth,change; easy,,硫
,2731,日 72.4,1561,1193,12600,"0,006511%",6,6,8,昏,hūn,hun,first,"dusk, nightfall, twilight, dark",,嚼
,2732,日 72.4,1606,1084,11787,"0,006091%",6,6,8,昌,chāng,chang,first,"light of sun; good, proper",,羡
,2733,日 72.4,1759,1080,9557,"0,004939%",5,7–9,8,昆,kūn,kun,first,elder brother; descendants,,沦
,2734,日 72.4,1952,1090,7637,"0,003947%",6,7–9,8,昂,áng,ang,second,"rise, raise; proud, bold; upright",,沪
,2735,日 72.4,2122,1086,6012,"0,003107%",6,6,8,畅,chàng,chang,fourth,"smoothly, freely, unrestrained",,旷
,2736,日 72.4,2198,1076,5529,"0,002857%",6,6,8,旺,wàng,wang,fourth,prosper; prosperous; increase,,彬
,2737,日 72.4,2388,1000,4320,"0,002233%",6,7–9,8,昔,xī,xi,first,formerly; ancient; in beginning,,芽
,2738,日 72.4,3956,3897,601,"0,000311%",,,8,昊,hào,hao,fourth,summer time; sky; heaven,,狸
,2739,日 72.4,4272,3898,426,"0,000220%",,,8,昙,tán,tan,second,"become cloudy, overcast",,冥
,2740,日 72.4,4750,3903,237,"0,000122%",,,8,昕,xīn,xin,first,dawn; early morning; day,,碳
,2741,日 72.4,5412,3904,123,"0,000064%",,,8,昀,yún,yun,second,sun light; used in personal names,,咧
,2742,日 72.4,6273,3900,41,"0,000021%",,,8,昃,zè,ze,fourth,afternoon; the sun in the afternoon sky; to decline,,惕
,2743,日 72.4,0,3905,,"0,000000%",,,8,旻,mín,min,second,heaven,,暑
,2744,日 72.4,0,3906,,"0,000000%",,,8,昉,fǎng,fang,third,"bright dawn, daybreak; appear",,咯
,2745,日 72.4,0,6671,,"0,000000%",,,8,𬀩,wěi,wei,third,the bright shining of the sun,,萝
,2746,日 72.4,0,6672,,"0,000000%",,,8,𬀪,xiàn,xian,fourth,sunlight,,汹
,2747,日 72.4,0,6673,,"0,000000%",,,8,旿,wǔ,wu,third,,,腥
,2748,日 72.4,0,6674,,"0,000000%",,,8,昇,shēng,sheng,first,"rise, ascent; peaceful; peace",,窥
,2749,日 72.4,0,6675,,"0,000000%",,,8,昄,bǎn,ban,third,big,,俺
,2750,日 72.4,0,6676,,"0,000000%",,,8,昒,hū,hu,first,"daybreak, dusk",,潭
,2751,日 72.4,0,6677,,"0,000000%",,,8,昈,hù,hu,fourth,,,崎
,2752,日 72.5,3,1479,2615490,"1,351646%",1,1,9,是,shì,shi,fourth,"indeed, yes, right; to be; demonstrative pronoun, this, that",,麟
,2753,日 72.5,469,1485,87825,"0,045387%",5,3,9,显,xiǎn,xian,third,"manifest, display; evident, clear",,捡
,2754,日 72.5,537,1488,76320,"0,039441%",1,1,9,星,xīng,xing,first,"a star, planet; any point of light",,拯
,2755,日 72.5,921,1355,36027,"0,018618%",3,2,9,春,chūn,chun,first,spring; wanton,,厥
,2756,日 72.5,1316,1487,18102,"0,009355%",5,4,9,映,yìng,ying,fourth,project; reflect light,,澄
,2757,日 72.5,1475,1489,14406,"0,007445%",1,1,9,昨,zuó,zuo,second,"yesterday; in former times, past",,萎
,2758,日 72.5,2190,1491,5569,"0,002878%",,,9,昭,zhāo,zhao,first,"bright, luminous; illustrious",,哉
,2759,日 72.5,2376,1477,4375,"0,002261%",6,7–9,9,昧,mèi,mei,fourth,"obscure, dark; darken",,涡
,2760,日 72.5,4089,4201,530,"0,000274%",,,9,昵,nì,ni,fourth,"intimate, close; approach",,滔
,2761,日 72.5,4596,4200,290,"0,000150%",,,9,昱,yù,yu,fourth,"bright light, sunlight; dazzling",,暇
,2762,日 72.5,4904,4374,202,"0,000104%",,,9,昶,chǎng,chang,third,a long day. bright. extended. clear,,溯
,2763,日 72.5,5682,4199,94,"0,000049%",,,9,昴,mǎo,mao,third,one of the 28 constellations,,鳞
,2764,日 72.5,6447,4298,31,"0,000016%",,,9,昝,zǎn,zan,third,"a dual pronoun, I, you and me, we two",,酿
,2765,日 72.5,0,6819,,"0,000000%",,,9,昺,bǐng,bing,third,"bright, glorious; brilliant",,茵
,2766,日 72.5,0,6825,,"0,000000%",,,9,昳,dié,die,second,the declining sun in the west,,愕
,2767,日 72.5,0,6826,,"0,000000%",,,9,昣,zhěn,zhen,third,,,瞅
,2768,日 72.5,0,6828,,"0,000000%",,,9,昤,líng,ling,second,sunshine,,暮
,2769,日 72.5,0,6829,,"0,000000%",,,9,昫,xù,xu,fourth,warm,,衙
,2770,日 72.5,0,6830,,"0,000000%",,,9,昡,xuàn,xuan,fourth,long day; extended; relaxed,,诫
,2771,日 72.5,0,6832,,"0,000000%",,,9,昪,biàn,bian,fourth,delighted; pleased,,斧
,2772,日 72.6,1357,1889,17316,"0,008949%",6,6,10,晓,xiǎo,xiao,third,"dawn, daybreak; clear, explicit",,兮
,2773,日 72.6,1645,1828,11192,"0,005784%",6,7–9,10,晋,jìn,jin,fourth,"advance, increase; promote",,焕
,2774,日 72.6,1796,1893,9157,"0,004732%",6,7–9,10,晃,huǎng,huang,third,"bright, dazzling; to sway, shake",,棕
,2775,日 72.6,2215,1897,5420,"0,002801%",5,6,10,晕,yūn,yun,first,"halo in sky; fog; dizzy, faint",,佑
,2776,日 72.6,2630,1887,3124,"0,001614%",5,4,10,晒,shài,shai,fourth,"dry in sun, expose to sun",,嘶
,2777,日 72.6,2822,1895,2401,"0,001241%",,,10,晌,shǎng,shang,third,"noon, midday; moment; unit land measurement equal to seven mou (畝), or the area that can be sown in one day",,妓
,2778,日 72.6,3489,6991,1046,"0,000541%",,,10,晖,huī,hui,first,"sunshine; light, bright, radiant",,喧
,2779,日 72.6,3811,4502,696,"0,000360%",,,10,晏,yàn,yan,fourth,"peaceful, quiet; clear; late in the day",,蓉
,2780,日 72.6,4393,4501,370,"0,000191%",,,10,晁,cháo,chao,second,"morning, dawn; surname",,删
,2781,日 72.6,4441,6989,350,"0,000181%",,,10,晔,yè,ye,fourth,bright; radiant; thriving,,樱
,2782,日 72.6,0,6983,,"0,000000%",,,10,晅,xuǎn,xuan,third,light of the sun; to dry in the sun,,伺
,2783,日 72.6,0,6984,,"0,000000%",,,10,晊,zhì,zhi,fourth,,,嗡
,2784,日 72.6,0,6990,,"0,000000%",,,10,晐,gāi,gai,first,,,娥
,2785,日 72.7,641,2270,62142,"0,032114%",2,1,11,晚,wǎn,wan,third,"night, evening; late",,梢
,2786,日 72.7,1224,2268,20897,"0,010799%",,,11,曼,màn,man,fourth,"long, extended, vast; beautiful",,坝
,2787,日 72.7,1388,2260,16235,"0,008390%",6,2,11,晨,chén,chen,second,"early morning, daybreak",,蚕
,2788,日 72.7,2719,4813,2805,"0,001450%",6,7–9,11,晤,wù,wu,fourth,have interview with; meet,,敷
,2789,日 72.7,3075,2269,1714,"0,000886%",,,11,晦,huì,hui,fourth,"dark, unclear, obscure; night",,澜
,2790,日 72.7,4682,4824,256,"0,000132%",,,11,晗,hán,han,second,pre-dawn,,杏
,2791,日 72.7,5488,4495,115,"0,000059%",,,10,晟,chéng,cheng,second,"clear, bright; splendor, brightness",,绥
,2792,日 72.7,6142,4812,51,"0,000026%",,,11,晡,bū,bu,first,late afternoon,,冶
,2793,日 72.7,0,4822,,"0,000000%",,,11,晞,xī,xi,first,"dry, expose sun; dawn",,庇
,2794,日 72.7,0,7113,,"0,000000%",,,11,晢,zhé,zhe,second,light of stars; shine,,挠
,2795,日 72.7,0,7158,,"0,000000%",,,11,㫰,làng,lang,fourth,"light; bright; brilliant; clean; clever, to expose to sunlight, to dry something in an opening for ventilation area or a cool place",,搂
,2796,日 72.7,0,7159,,"0,000000%",,,11,晙,jùn,jun,fourth,early; bright; respect,,倏
,2797,日 72.8,630,2741,63570,"0,032852%",4,2,12,普,pǔ,pu,third,"universal, general, widespread",,聂
,2798,日 72.8,814,2626,42738,"0,022086%",4,3,12,景,jǐng,jing,third,"scenery, view; conditions",,婉
,2799,日 72.8,885,2670,38064,"0,019671%",5,4,12,智,zhì,zhi,fourth,"wisdom, knowledge, intelligence",,噪
